"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"24.07.2024","81,28","81,47","81,51","81,13","","0,33%"
"23.07.2024","81,01","82,25","82,79","80,51","384,32K","-1,69%"
"22.07.2024","82,40","82,80","83,22","81,60","341,72K","-0,28%"
"19.07.2024","82,63","84,72","85,35","82,56","362,34K","-2,91%"
"18.07.2024","85,11","85,23","85,81","84,22","368,32K","0,04%"
"17.07.2024","85,08","83,66","85,20","83,43","325,40K","1,61%"
"16.07.2024","83,73","84,78","84,86","83,30","327,85K","-1,32%"
"15.07.2024","84,85","85,10","85,37","84,42","229,27K","-0,21%"
"12.07.2024","85,03","85,69","86,35","84,95","363,93K","-0,43%"
"11.07.2024","85,40","85,45","85,89","84,64","336,70K","0,38%"
"10.07.2024","85,08","84,92","85,66","84,00","401,56K","0,50%"
"09.07.2024","84,66","85,67","85,85","84,53","354,29K","-1,27%"
"08.07.2024","85,75","86,74","86,92","85,56","303,58K","-0,91%"
"05.07.2024","86,54","87,45","87,95","86,49","265,30K","-1,02%"
"04.07.2024","87,43","87,09","87,59","86,51","179,04K","0,10%"
"03.07.2024","87,34","86,44","87,39","85,89","334,82K","1,28%"
"02.07.2024","86,24","86,71","87,46","86,16","429,15K","-0,42%"
"01.07.2024","86,60","84,90","86,88","84,85","401,36K","0,22%"
"28.06.2024","86,41","86,56","87,22","86,24","20,94K","0,02%"
"27.06.2024","86,39","85,01","86,50","84,88","119,99K","1,34%"
"26.06.2024","85,25","84,89","85,81","84,47","142,86K","0,28%"
"25.06.2024","85,01","86,06","86,23","84,74","197,50K","-1,16%"
"24.06.2024","86,01","84,99","86,16","84,71","179,76K","0,90%"
"21.06.2024","85,24","85,66","86,24","84,84","240,12K","-0,55%"
"20.06.2024","85,71","85,19","85,96","84,95","256,46K","0,75%"
"19.06.2024","85,07","85,40","85,84","84,90","251,83K","-0,30%"
"18.06.2024","85,33","84,31","85,49","83,67","402,24K","1,28%"
"17.06.2024","84,25","82,61","84,55","82,10","359,72K","2,64%"
"14.06.2024","82,08","81,71","82,92","81,55","308,91K","-0,27%"
"13.06.2024","82,30","81,96","82,60","81,40","279,64K","0,18%"
"12.06.2024","82,15","81,75","82,90","81,57","260,33K","0,75%"
"11.06.2024","81,54","81,46","81,96","80,85","259,22K","0,38%"
"10.06.2024","81,23","79,18","81,73","79,08","238,25K","2,38%"
"07.06.2024","79,34","79,66","80,02","79,05","201,17K","-0,20%"
"06.06.2024","79,50","78,30","79,68","78,06","281,44K","1,87%"
"05.06.2024","78,04","77,08","78,28","76,94","257,85K","1,00%"
"04.06.2024","77,27","78,02","78,08","76,66","346,39K","-1,21%"
"03.06.2024","78,22","80,92","81,40","77,94","317,47K","-4,17%"
"31.05.2024","81,62","81,74","82,18","81,17","17,29K","-0,29%"
"30.05.2024","81,86","83,51","83,77","81,80","105,41K","-2,08%"
"29.05.2024","83,60","84,61","85,02","83,29","127,27K","-0,74%"
"28.05.2024","84,22","83,00","84,62","83,00","184,26K","1,35%"
"27.05.2024","83,10","82,20","83,20","82,08","56,71K","1,19%"
"24.05.2024","82,12","81,40","82,46","80,65","180,64K","0,93%"
"23.05.2024","81,36","81,59","82,97","80,93","322,41K","-0,66%"
"22.05.2024","81,90","82,58","82,63","81,57","347,60K","-1,18%"
"21.05.2024","82,88","83,75","83,76","82,04","388,56K","-0,99%"
"20.05.2024","83,71","83,98","84,49","83,11","299,83K","-0,32%"
"17.05.2024","83,98","83,43","84,04","83,08","277,18K","0,85%"
"16.05.2024","83,27","83,03","83,78","82,31","305,71K","0,63%"
"15.05.2024","82,75","82,76","83,07","81,05","385,98K","0,45%"
"14.05.2024","82,38","83,41","83,62","82,10","333,57K","-1,18%"
"13.05.2024","83,36","82,78","83,84","82,26","331,78K","0,69%"
"10.05.2024","82,79","84,21","84,53","82,70","311,45K","-1,30%"
"09.05.2024","83,88","83,79","84,33","83,45","309,45K","0,36%"
"08.05.2024","83,58","83,02","83,82","81,71","395,43K","0,51%"
"07.05.2024","83,16","83,72","83,88","82,41","365,21K","-0,20%"
"06.05.2024","83,33","82,99","83,83","82,77","222,39K","0,45%"
"03.05.2024","82,96","83,90","84,39","82,78","335,57K","-0,85%"
"02.05.2024","83,67","83,59","84,44","83,05","392,64K","0,28%"
"01.05.2024","83,44","85,80","85,89","83,29","482,83K","-5,03%"
"30.04.2024","87,86","88,41","88,79","87,46","14,19K","-0,61%"
"29.04.2024","88,40","89,22","89,29","88,11","99,95K","-1,23%"
"26.04.2024","89,50","89,23","89,83","88,78","113,70K","0,55%"
"25.04.2024","89,01","87,89","89,31","87,31","241,35K","1,12%"
"24.04.2024","88,02","88,45","88,86","87,65","241,64K","-0,45%"
